
event: content
id: 1
data: I

event: content
id: 2
data:  will

event: content
id: 3
data:  create

event: content
id: 4
data:  a

event: content
id: 5
data:  concise

event: content
id: 6
data: ,

event: content
id: 7
data:  clear

event: content
id: 8
data:  

event: content
id: 9
data: 3

event: content
id: 10
data: -card

event: content
id: 11
data:  presentation

event: content
id: 12
data:  outline

event: content
id: 13
data:  that

event: content
id: 14
data:  explains

event: content
id: 15
data:  markdown

event: content
id: 16
data:  parsing

event: content
id: 17
data:  heur

event: content
id: 18
data: istics

event: content
id: 19
data:  for

event: content
id: 20
data:  slide

event: content
id: 21
data:  generation

event: content
id: 22
data: ,

event: content
id: 23
data:  focusing

event: content
id: 24
data:  on

event: content
id: 25
data:  key

event: content
id: 26
data:  parsing

event: content
id: 27
data:  rules

event: content
id: 28
data: ,

event: content
id: 29
data:  slide

event: content
id: 30
data:  separation

event: content
id: 31
data:  logic

event: content
id: 32
data: ,

event: content
id: 33
data:  and

event: content
id: 34
data:  practical

event: content
id: 35
data:  tips

event: content
id: 36
data: ,

event: content
id: 37
data:  using

event: content
id: 38
data:  bullet

event: content
id: 39
data:  points

event: content
id: 40
data:  for

event: content
id: 41
data:  easy

event: content
id: 42
data:  comprehension

event: content
id: 43
data:  and

event: content
id: 44
data:  visual

event: content
id: 45
data:  clarity

event: content
id: 46
data: .
data: 
data: 

event: content
id: 47
data: ```

event: content
id: 48
data: md

event: content
id: 49
data: 
data: 

event: content
id: 50
data: ---

event: content
id: 51
data:  

event: content
id: 52
data: 1

event: content
id: 53
data: 
data: 

event: content
id: 54
data: #

event: content
id: 55
data:  Markdown

event: content
id: 56
data:  Parsing

event: content
id: 57
data:  He

event: content
id: 58
data: ur

event: content
id: 59
data: istics

event: content
id: 60
data:  for

event: content
id: 61
data:  Slide

event: content
id: 62
data:  Generation

event: content
id: 63
data: 
data: 
data: 

event: content
id: 64
data: -

event: content
id: 65
data:  How

event: content
id: 66
data:  Markdown

event: content
id: 67
data:  is

event: content
id: 68
data:  interpreted

event: content
id: 69
data:  to

event: content
id: 70
data:  create

event: content
id: 71
data:  slides

event: content
id: 72
data: 
data: 

event: content
id: 73
data: -

event: content
id: 74
data:  Key

event: content
id: 75
data:  rules

event: content
id: 76
data:  that

event: content
id: 77
data:  determine

event: content
id: 78
data:  slide

event: content
id: 79
data:  breaks

event: content
id: 80
data:  and

event: content
id: 81
data:  content

event: content
id: 82
data:  structure

event: content
id: 83
data: 
data: 

event: content
id: 84
data: -

event: content
id: 85
data:  Practical

event: content
id: 86
data:  tips

event: content
id: 87
data:  for

event: content
id: 88
data:  writing

event: content
id: 89
data:  Markdown

event: content
id: 90
data:  optimized

event: content
id: 91
data:  for

event: content
id: 92
data:  presentations

event: content
id: 93
data: 
data: 
data: 

event: content
id: 94
data: ---

event: content
id: 95
data:  

event: content
id: 96
data: 2

event: content
id: 97
data: 
data: 

event: content
id: 98
data: #

event: content
id: 99
data:  Slide

event: content
id: 100
data:  Separation

event: content
id: 101
data: :

event: content
id: 102
data:  The

event: content
id: 103
data:  Horizontal

event: content
id: 104
data:  Rule

event: content
id: 105
data:  (`

event: content
id: 106
data: ---

event: content
id: 107
data: `

event: content
id: 108
data: )
data: 
data: 

event: content
id: 109
data: -

event: content
id: 110
data:  Three

event: content
id: 111
data:  or

event: content
id: 112
data:  more

event: content
id: 113
data:  hy

event: content
id: 114
data: ph

event: content
id: 115
data: ens

event: content
id: 116
data:  (`

event: content
id: 117
data: ---

event: content
id: 118
data: `)

event: content
id: 119
data:  act

event: content
id: 120
data:  as

event: content
id: 121
data:  slide

event: content
id: 122
data:  div

event: content
id: 123
data: iders

event: content
id: 124
data:  in

event: content
id: 125
data:  most

event: content
id: 126
data:  tools

event: content
id: 127
data:  (

event: content
id: 128
data: e

event: content
id: 129
data: .g

event: content
id: 130
data: .,

event: content
id: 131
data:  Mar

event: content
id: 132
data: p

event: content
id: 133
data: ,

event: content
id: 134
data:  Reveal

event: content
id: 135
data: .js

event: content
id: 136
data: )
data: 

